LOX Dome:  Propane Dome:  
time elapsed, loxTankPressure, propTankPressure, loxInjectorPressure, propInjectorPressure, highPressure, loxTreeTemp, loxHeater, boardVoltage, energyConsumed, loxTankTemp, chamberTemp1, chamberTemp2, chamberTemp3
18.86301898956299,NaN,NaN,98.0,140.0,98.0,0.0,237.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19.35903525352478,NaN,NaN,98.0,139.0,96.0,0.0,236.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19.510369062423706,NaN,NaN,101.0,138.0,97.0,0.0,235.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19.854319095611572,NaN,NaN,99.0,138.0,96.0,0.0,237.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20.006102085113525,NaN,NaN,100.0,135.0,98.0,0.0,238.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20.22332501411438,NaN,NaN,100.0,141.0,96.0,0.0,237.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20.5717511177063,NaN,NaN,100.0,134.0,96.0,0.0,237.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20.768323183059692,NaN,NaN,100.0,138.0,98.0,0.0,239.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21.287662029266357,NaN,NaN,98.0,141.0,97.0,0.0,238.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21.439725160598755,NaN,NaN,101.0,141.0,96.0,0.0,238.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21.591233015060425,NaN,NaN,101.0,142.0,97.0,0.0,238.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21.980308055877686,NaN,NaN,100.0,134.0,98.0,0.0,240.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22.131892919540405,NaN,NaN,97.0,134.0,97.0,0.0,238.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22.282964944839478,NaN,NaN,100.0,137.0,97.0,0.0,239.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22.43495512008667,NaN,NaN,99.0,138.0,95.0,0.0,239.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22.844665050506592,NaN,NaN,100.0,135.0,98.0,0.0,239.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23.06195306777954,8.59,12.89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23.19303011894226,NaN,NaN,101.0,135.0,96.0,0.0,240.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23.496162176132202,NaN,NaN,99.0,139.0,96.0,0.0,240.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23.860617876052856,NaN,NaN,99.0,140.0,96.0,0.0,239.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23.966526985168457,9.08,8.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24.052558183670044,NaN,NaN,99.0,134.0,97.0,0.0,241.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24.3559091091156,NaN,NaN,100.0,140.0,96.0,0.0,241.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24.50744605064392,NaN,NaN,101.0,140.0,95.0,0.0,241.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24.659014225006104,NaN,NaN,102.0,139.0,97.0,0.0,242.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24.765019178390503,NaN,NaN,101.0,138.0,96.0,0.0,241.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25.02387499809265,8.59,13.18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25.175400972366333,8.59,13.18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25.412965059280396,NaN,NaN,99.0,139.0,98.0,0.0,242.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25.521788120269775,NaN,NaN,99.0,141.0,97.0,0.0,243.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25.867254972457886,NaN,NaN,101.0,139.0,96.0,0.0,242.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26.018717050552368,NaN,NaN,100.0,138.0,97.0,0.0,243.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26.12538504600525,NaN,NaN,99.0,139.0,95.0,0.0,244.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26.27669095993042,NaN,NaN,102.0,141.0,97.0,0.0,244.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26.57572913169861,NaN,NaN,99.0,142.0,97.0,0.0,244.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26.76828694343567,NaN,NaN,100.0,135.0,97.0,0.0,244.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26.919459104537964,NaN,NaN,99.0,139.0,98.0,0.0,245.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27.13692307472229,7.62,22.96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27.22332501411438,NaN,NaN,99.0,141.0,97.0,0.0,245.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27.48135805130005,NaN,NaN,101.0,137.0,96.0,0.0,244.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27.67716908454895,NaN,NaN,100.0,135.0,96.0,0.0,246.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27.82907485961914,NaN,NaN,100.0,135.0,97.0,0.0,247.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28.026065826416016,NaN,NaN,101.0,133.0,94.0,0.0,247.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28.34937596321106,9.08,8.28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28.542131900787354,NaN,NaN,99.0,141.0,96.0,0.0,247.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28.693255186080933,NaN,NaN,100.0,142.0,96.0,0.0,249.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28.844924926757812,NaN,NaN,102.0,143.0,97.0,0.0,248.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29.041283130645752,NaN,NaN,100.0,140.0,95.0,0.0,248.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29.192888021469116,NaN,NaN,100.0,142.0,98.0,0.0,249.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29.344536066055298,NaN,NaN,100.0,140.0,96.0,0.0,249.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29.450748205184937,NaN,NaN,101.0,139.0,97.0,0.0,250.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30.143239974975586,NaN,NaN,101.0,133.0,97.0,0.0,251.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30.35629892349243,NaN,NaN,99.0,141.0,97.0,0.0,250.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30.958279132843018,NaN,NaN,99.0,139.0,97.0,0.0,253.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31.196226119995117,NaN,NaN,101.0,140.0,96.0,0.0,252.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31.347164154052734,NaN,NaN,100.0,139.0,97.0,0.0,253.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31.498812913894653,NaN,NaN,100.0,139.0,96.0,0.0,253.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31.65049910545349,NaN,NaN,102.0,135.0,97.0,0.0,253.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31.867525100708008,NaN,NaN,100.0,138.0,96.0,0.0,253.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.06450605392456,NaN,NaN,100.0,135.0,97.0,0.0,253.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.322126150131226,NaN,NaN,101.0,141.0,97.0,0.0,255.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.42830014228821,9.08,8.94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.559715032577515,NaN,NaN,100.0,135.0,98.0,0.0,255.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33.07617521286011,NaN,NaN,99.0,137.0,97.0,0.0,255.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33.22732591629028,NaN,NaN,100.0,138.0,96.0,0.0,256.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33.33340120315552,9.08,8.56,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33.52671790122986,NaN,NaN,100.0,137.0,96.0,0.0,256.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33.76383686065674,NaN,NaN,101.0,140.0,96.0,0.0,258.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33.86997199058533,NaN,NaN,100.0,136.0,96.0,0.0,258.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34.067023038864136,NaN,NaN,101.0,138.0,96.0,0.0,258.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34.32465410232544,NaN,NaN,100.0,138.0,97.0,0.0,258.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34.47655200958252,NaN,NaN,99.0,140.0,97.0,0.0,259.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34.62809205055237,NaN,NaN,100.0,139.0,96.0,0.0,259.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34.8861620426178,NaN,NaN,99.0,142.0,95.0,0.0,259.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35.08256411552429,NaN,NaN,100.0,135.0,96.0,0.0,261.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35.537405014038086,NaN,NaN,100.0,141.0,98.0,0.0,261.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35.688913106918335,NaN,NaN,100.0,138.0,96.0,0.0,260.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35.881253242492676,NaN,NaN,99.0,140.0,97.0,0.0,262.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36.03299808502197,NaN,NaN,102.0,139.0,95.0,0.0,263.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36.184510946273804,NaN,NaN,100.0,138.0,97.0,0.0,262.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36.401591062545776,NaN,NaN,100.0,141.0,96.0,0.0,263.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37.15523719787598,NaN,NaN,100.0,142.0,97.0,0.0,265.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37.30647301673889,NaN,NaN,101.0,142.0,97.0,0.0,266.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37.54440116882324,NaN,NaN,100.0,135.0,96.0,0.0,265.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37.6958270072937,NaN,NaN,100.0,133.0,96.0,0.0,265.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37.847270250320435,NaN,NaN,101.0,134.0,97.0,0.0,266.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38.30191111564636,NaN,NaN,100.0,139.0,98.0,0.0,267.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38.40812706947327,NaN,NaN,99.0,135.0,97.0,0.0,266.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38.60096502304077,NaN,NaN,99.0,138.0,97.0,0.0,267.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38.752573013305664,NaN,NaN,100.0,137.0,97.0,0.0,268.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38.8588171005249,NaN,NaN,99.0,138.0,97.0,0.0,267.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39.010608196258545,NaN,NaN,100.0,140.0,95.0,0.0,269.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39.207207918167114,NaN,NaN,100.0,139.0,97.0,0.0,270.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39.3587441444397,NaN,NaN,101.0,139.0,96.0,0.0,269.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39.723318099975586,NaN,NaN,99.0,142.0,95.0,0.0,269.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39.915651082992554,NaN,NaN,100.0,134.0,96.0,0.0,269.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40.06735897064209,NaN,NaN,100.0,135.0,97.0,0.0,269.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40.173362255096436,NaN,NaN,99.0,142.0,97.0,0.0,271.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40.41171193122864,NaN,NaN,100.0,133.0,97.0,0.0,269.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40.62397003173828,NaN,NaN,101.0,138.0,95.0,0.0,270.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40.882254123687744,9.57,3.67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40.968377113342285,NaN,NaN,100.0,139.0,98.0,0.0,270.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
41.185791015625,9.08,8.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
41.33663320541382,8.59,13.46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
41.8321590423584,NaN,NaN,100.0,141.0,96.0,0.0,272.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
41.9841411113739,NaN,NaN,99.0,139.0,97.0,0.0,273.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
42.135595083236694,NaN,NaN,98.0,138.0,98.0,0.0,274.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
42.24172306060791,9.08,8.28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
42.3278751373291,NaN,NaN,100.0,138.0,98.0,0.0,271.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
42.779080867767334,NaN,NaN,102.0,135.0,96.0,0.0,274.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
42.888177156448364,NaN,NaN,100.0,142.0,97.0,0.0,274.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
43.18819713592529,NaN,NaN,100.0,142.0,97.0,0.0,275.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
43.44669008255005,8.59,13.84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
43.598265171051025,9.57,3.39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
43.68359708786011,NaN,NaN,100.0,139.0,97.0,0.0,274.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
43.78998303413391,NaN,NaN,100.0,138.0,97.0,0.0,273.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
43.9419219493866,NaN,NaN,100.0,138.0,96.0,0.0,272.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
44.179518938064575,NaN,NaN,101.0,139.0,97.0,0.0,274.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
44.69553828239441,NaN,NaN,101.0,142.0,95.0,0.0,273.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
44.84674096107483,NaN,NaN,100.0,139.0,97.0,0.0,273.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
45.0846791267395,NaN,NaN,101.0,134.0,97.0,0.0,274.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
45.23609399795532,NaN,NaN,101.0,139.0,97.0,0.0,274.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
45.34241795539856,NaN,NaN,100.0,138.0,96.0,0.0,274.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
45.903770208358765,NaN,NaN,98.0,142.0,98.0,0.0,273.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
46.05537986755371,NaN,NaN,100.0,139.0,96.0,0.0,273.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
46.20692300796509,NaN,NaN,102.0,138.0,96.0,0.0,275.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
